,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
Year,1,0.151669679,-0.171923714,,,-0.001400887,0.032366003,0.00984165,0.089854463,0.059971452,-0.106961199,0.076837458,0.040887028,-0.159891178,0.044782657,
Flood_Frequency,0.151669679,1,-0.038379254,,,0.077640984,0.103977889,0.068403274,-0.075517618,0.087947333,0.06734899,0.077428259,0.024519273,0.028867829,0.043002712,
Mean_Duration,-0.171923714,-0.038379254,1,,,-0.021660828,-0.034598439,-0.020946378,0.057475708,-0.037451337,0.023675944,-0.040603909,-0.023135451,0.99363493,-0.032110365,
Mean_Severity,,,,,,,,,,,,,,,,
AFSI,,,,,,,,,,,,,,,,
Human_fatality,-0.001400887,0.077640984,-0.021660828,,,1,0.526026902,0.288885317,-0.108961604,0.057552563,0.060371274,0.033258588,0.577706561,-0.021770921,0.111215067,
Human_injured,0.032366003,0.103977889,-0.034598439,,,0.526026902,1,0.194955774,-0.253039505,-0.005637104,0.032931835,-0.036531025,0.224392237,-0.034740922,-0.009660828,
Population,0.00984165,0.068403274,-0.020946378,,,0.288885317,0.194955774,1,0.062342694,0.150037517,0.094670669,0.129378938,-0.167400835,-0.021159185,0.374128656,
Mean_Flood_Duration,0.089854463,-0.075517618,0.057475708,,,-0.108961604,-0.253039505,0.062342694,1,0.277367249,-0.021315883,0.350819987,-0.125093516,0.05101353,0.351442218,
Percent_Flooded_Area,0.059971452,0.087947333,-0.037451337,,,0.057552563,-0.005637104,0.150037517,0.277367249,1,0.614170596,0.931499065,-0.019639575,-0.037981316,0.735543232,
Parmanent_Water,-0.106961199,0.06734899,0.023675944,,,0.060371274,0.032931835,0.094670669,-0.021315883,0.614170596,1,0.258181994,-0.062740263,0.021264313,0.1622931,
Corrected_Percent_Flooded_Area,0.076837458,0.077428259,-0.040603909,,,0.033258588,-0.036531025,0.129378938,0.350819987,0.931499065,0.258181994,1,-0.005940082,-0.041297342,0.80476915,
Population_Exposure_Ratio,0.040887028,0.024519273,-0.023135451,,,0.577706561,0.224392237,-0.167400835,-0.125093516,-0.019639575,-0.062740263,-0.005940082,1,-0.023678799,-0.033315954,
Flood_Risk_Index,-0.159891178,0.028867829,0.99363493,,,-0.021770921,-0.034740922,-0.021159185,0.05101353,-0.037981316,0.021264313,-0.041297342,-0.023678799,1,-0.032792686,
Area_Exposure,0.044782657,0.043002712,-0.032110365,,,0.111215067,-0.009660828,0.374128656,0.351442218,0.735543232,0.1622931,0.80476915,-0.033315954,-0.032792686,1,
Severity_Score,,,,,,,,,,,,,,,,
